base_date,airport,airport_-1day,airport_-2day,총관광객,내국인,tourist_-1day,tourist_-2day,base_day,fri,mon,sat,sun,thu,tue,wed,평균기온,강수 계속시간(hr),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),weekend,holiday,holiandweekend,std_airport,month,01,02,03,04,05,06,07,08,09,10,11,12,관광지하차관광객(y)
20180701,3910,0,0,31614,27975,0,0,sun,0,0,0,1,0,0,0,27.3,22.5,7.5,7.0,3.0,1,0,1,-0.6235812524711097,07,0,0,0,0,0,0,1,0,0,0,0,0,1992
20180702,4209,3910,0,28653,25817,31614,0,mon,0,1,0,0,0,0,0,27.3,2.12,0.0,7.3,3.4,0,0,0,-0.3760075028538578,07,0,0,0,0,0,0,1,0,0,0,0,0,2401
20180703,3763,4209,3910,27514,23979,28653,31614,tue,0,0,0,0,0,1,0,24.1,7.1,1.6,10.0,4.8,0,0,0,-0.7452981126508289,07,0,0,0,0,0,0,1,0,0,0,0,0,2573
20180704,4472,3763,4209,37169,33461,27514,28653,wed,0,0,0,0,0,0,1,26.0,0.0,0.0,5.5,2.6,0,0,0,-0.15824196389286366,07,0,0,0,0,0,0,1,0,0,0,0,0,3798
20180705,3708,4472,3763,40192,36461,37169,27514,thu,0,0,0,0,1,0,0,24.8,5.67,0.0,5.4,2.4,0,0,0,-0.7908384344867782,07,0,0,0,0,0,0,1,0,0,0,0,0,3030
20180706,3528,3708,4472,39322,35988,40192,37169,fri,1,0,0,0,0,0,0,22.7,18.95,38.1,5.7,3.2,0,0,0,-0.939879487768067,07,0,0,0,0,0,0,1,0,0,0,0,0,2164
20180707,3071,3528,3708,39716,35752,39322,40192,sat,0,0,1,0,0,0,0,21.3,0.55,0.0,5.9,4.0,1,0,1,-1.318278161932228,07,0,0,0,0,0,0,1,0,0,0,0,0,2440
20180708,4807,3071,3528,39727,36320,39716,39322,sun,0,0,0,1,0,0,0,20.9,17.78,1.3,5.6,3.8,1,0,1,0.119139996380646,07,0,0,0,0,0,0,1,0,0,0,0,0,2326
20180709,4765,4807,3071,40854,37626,39727,39716,mon,0,1,0,0,0,0,0,24.6,3.67,0.1,5.1,2.7,0,0,0,0.08436375061501196,07,0,0,0,0,0,0,1,0,0,0,0,0,2859
20180710,5181,4765,4807,38815,35482,40854,39727,tue,0,0,0,0,0,1,0,28.3,0.0,0.0,7.3,3.6,0,0,0,0.42881418486510153,07,0,0,0,0,0,0,1,0,0,0,0,0,3688
20180711,4290,5181,4765,41407,37613,38815,40854,wed,0,0,0,0,0,0,1,30.0,0.0,0.0,7.8,2.8,0,0,0,-0.30893902887727787,07,0,0,0,0,0,0,1,0,0,0,0,0,3788
20180712,4547,4290,5181,41813,38332,41407,38815,thu,0,0,0,0,1,0,0,28.0,0.0,0.0,3.6,1.8,0,0,0,-0.09614152502566,07,0,0,0,0,0,0,1,0,0,0,0,0,3266
20180713,3494,4547,4290,40774,37228,41813,41407,fri,1,0,0,0,0,0,0,26.7,0.0,0.0,5.2,1.9,0,0,0,-0.9680316867211993,07,0,0,0,0,0,0,1,0,0,0,0,0,3027
20180714,3258,3494,4547,42413,37912,40774,41813,sat,0,0,1,0,0,0,0,26.9,0.0,0.0,4.2,1.7,1,0,1,-1.1634410676900002,07,0,0,0,0,0,0,1,0,0,0,0,0,2789
20180715,4764,3258,3494,42192,38430,42413,40774,sun,0,0,0,1,0,0,0,27.0,0.0,0.0,4.0,1.8,1,0,1,0.08353574476344924,07,0,0,0,0,0,0,1,0,0,0,0,0,2718
20180716,4774,4764,3258,41801,38223,42192,42413,mon,0,1,0,0,0,0,0,27.0,0.0,0.0,5.1,2.0,0,0,0,0.0918158032790764,07,0,0,0,0,0,0,1,0,0,0,0,0,3737
20180717,4890,4774,4764,39118,35319,41801,42192,tue,0,0,0,0,0,1,0,27.3,0.0,0.0,3.8,1.7,0,0,0,0.1878644820603514,07,0,0,0,0,0,0,1,0,0,0,0,0,4375
20180718,4353,4890,4774,39322,35938,39118,41801,wed,0,0,0,0,0,0,1,27.7,0.0,0.0,4.6,1.9,0,0,0,-0.2567746602288268,07,0,0,0,0,0,0,1,0,0,0,0,0,4597
20180719,4656,4353,4890,38874,35358,39322,39118,thu,0,0,0,0,1,0,0,27.8,0.0,0.0,2.9,1.5,0,0,0,-0.005888887205324019,07,0,0,0,0,0,0,1,0,0,0,0,0,4211
20180720,3664,4656,4353,38461,34819,38874,39322,fri,1,0,0,0,0,0,0,28.8,0.0,0.0,6.1,2.8,0,0,0,-0.8272706919555377,07,0,0,0,0,0,0,1,0,0,0,0,0,3802
20180721,3601,3664,4656,41497,37071,38461,38874,sat,0,0,1,0,0,0,0,28.9,0.0,0.0,7.1,3.2,1,0,1,-0.8794350606039888,07,0,0,0,0,0,0,1,0,0,0,0,0,3377
20180722,4347,3601,3664,39383,36004,41497,38461,sun,0,0,0,1,0,0,0,29.2,13.78,0.1,6.7,3.7,1,0,1,-0.26174269533820305,07,0,0,0,0,0,0,1,0,0,0,0,0,2867
20180723,4296,4347,3601,36935,33428,39383,41497,mon,0,1,0,0,0,0,0,29.9,0.0,0.0,5.0,2.3,0,0,0,-0.30397099376790154,07,0,0,0,0,0,0,1,0,0,0,0,0,3500
20180724,4270,4296,4347,36236,32487,36935,39383,tue,0,0,0,0,0,1,0,29.2,0.0,0.0,4.2,2.0,0,0,0,-0.32549914590853213,07,0,0,0,0,0,0,1,0,0,0,0,0,3604
20180725,3841,4270,4296,40662,36822,36236,36935,wed,0,0,0,0,0,0,1,29.1,0.0,0.0,4.9,2.1,0,0,0,-0.6807136562289371,07,0,0,0,0,0,0,1,0,0,0,0,0,3583
20180726,4121,3841,4270,42095,37829,40662,36236,thu,0,0,0,0,1,0,0,29.1,0.0,0.0,4.0,2.2,0,0,0,-0.44887201779137675,07,0,0,0,0,0,0,1,0,0,0,0,0,3528
20180727,4188,4121,3841,46538,43054,42095,40662,fri,1,0,0,0,0,0,0,29.3,0.0,0.0,4.2,2.5,0,0,0,-0.3933956257366748,07,0,0,0,0,0,0,1,0,0,0,0,0,3509
20180728,3571,4188,4121,50225,45785,46538,42095,sat,0,0,1,0,0,0,0,29.1,0.0,0.0,3.5,2.3,1,0,1,-0.9042752361508702,07,0,0,0,0,0,0,1,0,0,0,0,0,3238
20180729,4306,3571,4188,50172,46097,50225,46538,sun,0,0,0,1,0,0,0,29.4,0.0,0.0,4.7,2.5,1,0,1,-0.2956909352522744,07,0,0,0,0,0,0,1,0,0,0,0,0,3138
20180730,4618,4306,3571,47541,44025,50172,50225,mon,0,1,0,0,0,0,0,28.9,0.45,0.0,7.0,3.5,0,0,0,-0.0373531095647072,07,0,0,0,0,0,0,1,0,0,0,0,0,3416
20180731,4822,4618,4306,46898,42921,47541,50172,tue,0,0,0,0,0,1,0,28.7,0.0,0.0,5.0,2.5,0,0,0,0.13156008415408674,07,0,0,0,0,0,0,1,0,0,0,0,0,3731
20180801,3250,4822,4618,49316,45030,46898,47541,wed,0,0,0,0,0,0,1,29.2,0.0,0.0,6.6,3.0,0,0,0,-1.1700651145025018,08,0,0,0,0,0,0,0,1,0,0,0,0,3668
20180802,3934,3250,4822,49065,44541,49316,46898,thu,0,0,0,0,1,0,0,29.0,0.93,0.0,8.4,4.0,0,0,0,-0.6037091120336046,08,0,0,0,0,0,0,0,1,0,0,0,0,3406
20180803,4227,3934,3250,45017,41048,49065,49316,fri,1,0,0,0,0,0,0,30.0,6.73,0.9,6.3,3.4,0,0,0,-0.3611033975257289,08,0,0,0,0,0,0,0,1,0,0,0,0,3395
20180804,4246,4227,3934,45253,40509,45017,49065,sat,0,0,1,0,0,0,0,29.5,0.0,0.0,3.9,1.9,1,0,1,-0.3453712863460373,08,0,0,0,0,0,0,0,1,0,0,0,0,3334
20180805,3805,4246,4227,45892,41463,45253,45017,sun,0,0,0,1,0,0,0,29.9,0.0,0.0,4.6,2.5,1,0,1,-0.7105218668851948,08,0,0,0,0,0,0,0,1,0,0,0,0,3168
20180806,3978,3805,4246,44677,40961,45892,45253,mon,0,1,0,0,0,0,0,30.1,0.0,0.0,4.1,2.4,0,0,0,-0.567276854564845,08,0,0,0,0,0,0,0,1,0,0,0,0,3719
20180807,4521,3978,3805,41263,36752,44677,45892,tue,0,0,0,0,0,1,0,29.7,0.0,0.0,6.4,2.9,0,0,0,-0.11766967716629059,08,0,0,0,0,0,0,0,1,0,0,0,0,3576
